index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,13_30_voosh,distance_in_meters_from_voosh
0,Madhuban Apartments,12.9383132,77.60969140000002,Apartments,"Adugodi, Bengaluru",2.4834009377251625,2.1663348159835816,11,12,10,710
4,Prestige Acropolis,12.935308099999999,77.61047370000001,Apartments,"Adugodi, Bengaluru",2.159536578071742,1.8217278911213208,8,10,8,577
7,Esteem Splendor 2,12.9377956,77.6091066,Apartments,"Adugodi, Bengaluru",2.4218734008328613,2.129447368736355,12,12,10,730
8,Brindavan Apartment,12.9382437,77.6097782,Apartments,"Adugodi, Bengaluru",2.4764363744510027,2.1563615406269587,10,11,9,655
10,Sorina Apartments,12.937561099999998,77.61155579999999,Apartments,"Adugodi, Bengaluru",2.424425098640586,2.0384281501412613,11,12,10,727
11,Prakash Apartments,12.940097300000001,77.6077109,Apartments,"Adugodi, Bengaluru",2.6745963191921245,2.420220185422102,12,13,10,782
12,Ansal Krsna,12.9378069,77.6100691,Apartments,"Adugodi, Bengaluru",2.43082332402412,2.101202300033506,10,11,9,660
16,Sanjeevegowda,12.9408351,77.60999890000001,Apartments,"Adugodi, Bengaluru",2.76557765706339,2.429687200399512,12,13,11,789
18,SLV Apartments -3,12.9360211,77.6090295,Apartments,"Adugodi, Bengaluru",2.2243918552835025,1.945272236172495,13,15,12,891
19,Prema Nilaya Apartment,12.9406304,77.6080901,Apartments,"Adugodi, Bengaluru",2.733814399676565,2.463257912289394,11,12,10,731
23,Esteem Splendor 1,12.9381227,77.6093822,Apartments,"Adugodi, Bengaluru",2.459918643617933,2.155341104377473,11,12,10,712
25,Crystal Rock Apartments,12.9368891,77.60903859999999,Apartments,"Adugodi, Bengaluru",2.3208283344333887,2.0360479510209832,13,14,12,844
28,Shanthi Nilaya Apartment,12.9406546,77.6084403,Apartments,"Adugodi, Bengaluru",2.7370002577244947,2.45439302337672,11,12,10,722
31,Samuthya Apartment,12.9402291,77.60832070000001,Apartments,"Adugodi, Bengaluru",2.689464123724017,2.413124583250422,12,12,10,737
36,Adithya om enclave,12.9415073,77.6174647,Apartments,"Adugodi, Bengaluru",3.0137283926829,2.4541786763599975,14,15,12,895
42,Rani Residency,12.939498599999999,77.6088175,Apartments,"Adugodi, Bengaluru",2.6096624882507102,2.3195146687846075,11,12,10,723
44,Prestige St. John's Wood,12.930061199999999,77.6106751,Apartments,"Adugodi, Bengaluru",1.5865434832224554,1.2625453310514445,8,9,7,532
48,Sai Krupa Apartments,12.9375149,77.6123378,Apartments,"Adugodi, Bengaluru",2.4345355875699464,2.019096963132407,12,13,11,798
52,Krishna Apartment,12.9285032,77.61108259999999,Apartments,"Adugodi, Bengaluru",1.4266410343152196,1.0857950898384297,6,7,6,420
54,Dixit%E2%80%99s Apartmet,12.9402192,77.6173703,Apartments,"Adugodi, Bengaluru",2.87593558587953,2.3106684060756026,13,14,11,839
56,"%2354, Sri Nivasa",12.9403055,77.6086993,Apartments,"Adugodi, Bengaluru",2.6989045521770723,2.4090875806066827,12,12,10,742
57,Sri Laxmi Nivas,12.9404852,77.6082048,Apartments,"Adugodi, Bengaluru",2.7177740649797433,2.444075815274203,11,12,10,735
62,Soram Residency,12.9404025,77.607674,Apartments,"Adugodi, Bengaluru",2.7085706143130097,2.4535803082982115,12,13,10,774
63,Police QRS. ADUGODI,12.9397605,77.6120715,Apartments,"Adugodi, Bengaluru",2.674853441727542,2.270332183656936,11,12,10,717
65,"G Block, Inside Adugodi Police Quaters",12.9401179,77.6136537,Apartments,"Adugodi, Bengaluru",2.747568235630683,2.291603661134344,12,12,10,739
72,Jordiie's Place,12.9403453,77.607679,Apartments,"Adugodi, Bengaluru",2.7022049690266816,2.4473945175285112,12,13,10,775
74,Sai Balaji Residency,12.9267832,77.6099718,Apartments,"Adugodi, Bengaluru",1.214239898986226,0.9768888805357328,5,6,5,332
75,Sipani classe 2,12.9405273,77.6190537,Apartments,"Adugodi, Bengaluru",2.977032650735152,2.3708454578431573,14,15,12,873
77,Vinod Raj's Home,12.940044199999999,77.60806540000002,Apartments,"Adugodi, Bengaluru",2.6686176668273074,2.402183782215781,12,12,10,749
78,Sapthagiri Apartments,12.927683,77.611051,Apartments,"Adugodi, Bengaluru",1.3373921407647376,1.0043979562805365,6,7,6,411
81,Sree Vatsa Nilaya Apartments,12.927306199999999,77.6113865,Apartments,"Adugodi, Bengaluru",1.3068315247726718,0.9509359708351938,6,7,6,436
83,Shanvi Apartment,12.9407744,77.6189205,Apartments,"Adugodi, Bengaluru",2.996413726073632,2.395335550730925,14,14,12,866
92,1BHK Apartments,12.9322131,77.61095040000001,Apartments,"Adugodi, Bengaluru",1.8272459896933126,1.4773335406769754,7,8,7,478
96,"45 , 1 - Nicky%E2%80%99s ",12.940358,77.607714,Apartments,"Adugodi, Bengaluru",2.7035806762034857,2.447485415956586,12,13,10,775
98,Tavarekere Apartment,12.9278183,77.61005379999999,Apartments,"Adugodi, Bengaluru",1.329092221632099,1.068982310950298,6,7,6,410
99,Sri Sai PG,12.9362751,77.60878199999999,Apartments,"Adugodi, Bengaluru",2.251343759934703,1.9809837604028808,13,15,12,885
101,Sathya Apartments,12.9335385,77.60811890000001,Apartments,"Adugodi, Bengaluru",1.9452800561734738,1.7289044670104818,8,9,8,565
102,Vision Appartments,12.939925500000001,77.6163804,Apartments,"Adugodi, Bengaluru",2.808669661203594,2.2691123237716053,14,15,13,911
105,BH24 Blue Hills service apartment,12.9323027,77.6101949,Apartments,"Adugodi, Bengaluru",1.8242677424305438,1.5135972946994183,6,8,6,452
108,S 23 51 Laskar,12.938202699999998,77.60924709999999,Apartments,"Adugodi, Bengaluru",2.4679098559920756,2.168100009644899,11,12,9,705
110,The Mayfair Apartments,12.939376600000001,77.6218297,Apartments,"Adugodi, Bengaluru",2.999661941608827,2.321423512825337,11,12,10,717
111,Building No. 2,12.940661,77.6175807,Apartments,"Adugodi, Bengaluru",2.929961039145644,2.3620087845471764,13,14,12,851
115,SG Residency,12.9320507,77.6102724,Apartments,"Adugodi, Bengaluru",1.7976679668929678,1.484412453913875,6,7,6,437
116,Insta Guest House - Koramangala,12.9355474,77.61300820000001,Apartments,"Adugodi, Bengaluru",2.2371515323411133,1.7924038740543682,10,11,9,641
118,Apartment 6D,12.9366969,77.6163113,Apartments,"Adugodi, Bengaluru",2.4692673135974905,1.9103780982420653,12,12,10,745
120,Citizen Tower Building,12.927937199999999,77.6099542,Apartments,"Adugodi, Bengaluru",1.3403126028086487,1.085867037506771,6,7,6,414
122,Pavan Apartments,12.926870599999999,77.6106647,Apartments,"Adugodi, Bengaluru",1.2395406182503914,0.9445712448354016,6,6,5,376
123,House,12.9367675,77.6158994,Apartments,"Adugodi, Bengaluru",2.4605586754028823,1.9156686095889806,11,12,10,732
