index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_centroid,19_00_centroid,distance_in_meters_from_centroid
231,1 bhk apartment,12.848453,77.685098,Apartments,"Adugodi, Bengaluru",2.3864004134067742,4.266665715910044,14,15,891
252,Prestige Sunrise Park Norwood,12.8345426,77.6637588,Apartments,"Adugodi, Bengaluru",1.192962479052092,2.056756576781162,7,7,399
771,SLV PG for Ladies,12.8489328,77.6726019,PG,"Adugodi, Bengaluru",1.0848397945011805,2.955193238854018,12,12,724
943,Prestige Sunrise Park Norwood,12.8345426,77.6637588,Apartment,"Ambalipura, Bengaluru",1.192962479052092,2.056756576781162,7,7,399
946,1 bhk apartment,12.848453,77.685098,Apartment,"Ambalipura, Bengaluru",2.3864004134067742,4.266665715910044,14,15,891
1275,Gold Hill Excelsior Park,12.85061,77.6765659,Office,"Ambalipura, Bengaluru",1.5532084320474333,3.419716927027245,11,12,700
1317,Siemens Technology and Services Private Limited,12.8450867,77.6609407,Office,"Ambalipura, Bengaluru",0.2597834494053711,1.6244650997939638,2,2,102
1546,Zolo Selene PG,12.8386672,77.6482698,PG,"Ambalipura, Bengaluru",1.7899065420656086,0.41142920507380587,9,9,567
1548,Zolo Euphoria Co-Living %7C Redefining PG,12.8492421,77.6551328,PG,"Ambalipura, Bengaluru",0.9927360296630633,1.2597412860479407,5,6,355
1560,Stanza Living Cicero House,12.8485725,77.6836902,PG,"Ambalipura, Bengaluru",2.237735275352576,4.118796241148403,14,14,863
1837,1 bhk apartment,12.848453,77.685098,Apartments,"Bellandur, Bengaluru",2.3864004134067742,4.266665715910044,14,15,891
3065,1 bhk apartment,12.848453,77.685098,Apartment,"Carmelaram, Bengaluru",2.3864004134067742,4.266665715910044,14,15,891
3073,Prestige Sunrise Park Norwood,12.8345426,77.6637588,Apartment,"Carmelaram, Bengaluru",1.192962479052092,2.056756576781162,7,7,399
3347,India Post,12.8398847,77.6630109,Office,"Carmelaram, Bengaluru",0.5990421237144549,1.8215973702999022,4,4,249
3620,SRIVARI LUXURY LADIES PG,12.8487955,77.6731575,PG,"Carmelaram, Bengaluru",1.1355037352599646,3.0093346576267233,11,12,697
3621,Paying guest for ladies,12.8505667,77.6645258,PG,"Carmelaram, Bengaluru",0.6038219285017531,2.198067253918554,4,4,250
3623,Zolo Yang PG,12.851554,77.6697167,PG,"Carmelaram, Bengaluru",0.9842366138762386,2.7556069035680557,14,15,905
3636,Stanza Living Cicero House,12.8485725,77.6836902,PG,"Carmelaram, Bengaluru",2.237735275352576,4.118796241148403,14,14,863
3639,Zolo Delphi,12.8399688,77.649983,PG,"Carmelaram, Bengaluru",1.5621736549761294,0.44776924889510866,7,7,445
