Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_centroid,19_00_centroid,distance_in_meters_from_centroid
DS-MAX Properties Pvt.Ltd,13.037737,77.6273876,Apartments,"Adugodi, Bengaluru",1.8670101982119438,3.4744653978734314,7,8,504
Bizongo,13.0277782,77.6324487,Office,"Ambalipura, Bengaluru",0.7975874125251357,2.3494962356968236,1,1,83
Hitachi Lift India Pvt Ltd,13.0341271,77.6286827,Office,"Ambalipura, Bengaluru",1.4946350084496447,3.1011615707084745,3,4,237
Ola attachment,13.0375156,77.6273117,Office,"Ambalipura, Bengaluru",1.855482654260741,3.463417795613342,7,9,510
Axis Bank,13.0281125,77.6324919,Office,"Ambalipura, Bengaluru",0.8040645400033424,2.3664009238432016,4,5,288
Ola attachment,13.0375156,77.6273117,Office,"Carmelaram, Bengaluru",1.855482654260741,3.463417795613342,7,9,510
Zolo Cosmos Co-Living %7C Redefining PG,13.0395306,77.6224366,PG,"Carmelaram, Bengaluru",2.39850978961181,4.005880430724523,5,6,362
Zolo Forza Co-Living %7C Redefining PG,13.0407826,77.6226448,PG,"Carmelaram, Bengaluru",2.4725568487778347,4.081115447252002,5,6,350
Zolo Epic Co-Living %7C Redefining PG,13.0379523,77.6217372,PG,"Carmelaram, Bengaluru",2.3526794630110994,3.9534366136529258,6,7,404
All Peoples Church %26 World Outreach Office,13.0208806,77.6430362,Office,"J.P. Nagar, Bengaluru",0.6680059140026238,0.9697129115646521,4,6,342
Casagrand Orlena,13.043603,77.6354368,Apartments,"Junnasandra, Bengaluru",2.0261060343118626,3.468240818784734,8,10,592
Griha Promoters Private Ltd,13.0181246,77.646108,Apartments,"Junnasandra, Bengaluru",1.1137473275679992,0.5283552891519908,6,8,451
Zolo Cosmos Co-Living %7C Redefining PG,13.0395306,77.6224366,PG,"Junnasandra, Bengaluru",2.39850978961181,4.005880430724523,5,6,362
Zolo Epic Co-Living %7C Redefining PG,13.0379523,77.6217372,PG,"Junnasandra, Bengaluru",2.3526794630110994,3.9534366136529258,6,7,404
Sub Registrar Office,13.0144612,77.6477867,Office,"K.R Puram, Bengaluru",1.5479216508653997,0.3464595096706986,9,10,612
Zolo Cygnus Co-Living %7C Redefining PG,13.0206664,77.6558476,PG,"K.R Puram, Bengaluru",1.8582071634841817,0.7700964267827594,7,7,449
Kalyan Apartments,13.0273248,77.6372114,Apartment,"Kalyan Nagar, Bengaluru",0.3017913111755668,1.907402649201459,3,4,210
Grace Garden Apartments,13.0292717,77.6342233,Apartment,"Kalyan Nagar, Bengaluru",0.6912176371361405,2.294313765073972,3,4,263
Sahasra Maple Apartment,13.0286463,77.6412487,Apartment,"Kalyan Nagar, Bengaluru",0.36475306443995564,1.7197675604687606,6,6,358
Sahasra Grand Apartments,13.0301421,77.6435231,Apartment,"Kalyan Nagar, Bengaluru",0.6460844144638984,1.736616985078272,6,7,423
White Crest Apartment,13.0153152,77.646082,Apartment,"Kalyan Nagar, Bengaluru",1.3670871189277463,0.4878035262267206,8,8,503
Ring View Apartment,13.0236674,77.6427738,Apartment,"Kalyan Nagar, Bengaluru",0.42521529652338963,1.1889124284909904,3,4,233
Park Side Apartment,13.0191597,77.6496537,Apartment,"Kalyan Nagar, Bengaluru",1.323409657408881,0.3540624235412915,7,8,480
Radiant H.R.B.R.,13.0182321,77.6520659,Apartment,"Kalyan Nagar, Bengaluru",1.5988424992427865,0.29172998800865546,8,9,534
SIMS Serenity Apartments,13.0245325,77.6361431,Apartment,"Kalyan Nagar, Bengaluru",0.39428150262100986,1.818155886753994,2,2,133
Green India Daisy Apartment,13.016626,77.641389,Apartment,"Kalyan Nagar, Bengaluru",1.0423687573891118,0.9904150628690119,6,7,419
Golden Valley Breeze Apartment,13.0261854,77.6418319,Apartment,"Kalyan Nagar, Bengaluru",0.2523153418653492,1.4647185145475794,5,5,325
Golden Meadows Apartment,13.0293583,77.6343731,Apartment,"Kalyan Nagar, Bengaluru",0.6832663090350432,2.288051738316688,3,4,260
Silver Oak Apartment,13.0298177,77.638101,Apartment,"Kalyan Nagar, Bengaluru",0.4703715435320552,2.034507098526145,5,6,341
Zenith Apartment,13.032897,77.6405687,Apartment,"Kalyan Nagar, Bengaluru",0.7944425394356944,2.1573993981076693,5,6,385
Golden Castle Apartments,13.0244638,77.6365585,Apartment,"Kalyan Nagar, Bengaluru",0.3559308084692878,1.7757527498815064,2,2,107
NSR Apartments,13.0251209,77.6394263,Apartment,"Kalyan Nagar, Bengaluru",0.07903411157611397,1.5658226218860913,2,3,150
Surabhi Apartments,13.0179734,77.6481408,Apartment,"Kalyan Nagar, Bengaluru",1.277403218321274,0.33177070586427876,8,9,521
Mashri Prajavani Apartment,13.0286178,77.6414258,Apartment,"Kalyan Nagar, Bengaluru",0.37224696574108707,1.706051134453899,6,6,358
Sai Sannidhi Apartments,13.0275179,77.6374661,Apartment,"Kalyan Nagar, Bengaluru",0.2925569675601955,1.9009288780930942,4,4,243
Sai Orchid Apartment,13.0293224,77.6400087,Apartment,"Kalyan Nagar, Bengaluru",0.39239989349979765,1.860362174611312,5,5,324
Kala Bhairava Apartment,13.0282342,77.6407701,Apartment,"Kalyan Nagar, Bengaluru",0.29965619095326484,1.7142060601547575,5,5,324
Sai Leela Palace Apartments,13.0272203,77.6402669,Apartment,"Kalyan Nagar, Bengaluru",0.17444733231903392,1.6627528029751102,5,5,305
Pandiyan house Bengaluru,13.0155361,77.648576,Apartment,"Kalyan Nagar, Bengaluru",1.50617047039467,0.21876206059885536,9,10,613
Anugraha Apartments 11,13.0228247,77.6383682,Apartment,"Kalyan Nagar, Bengaluru",0.3565743433134058,1.5141430192107463,3,5,283
Spencer Apartments,13.0197706,77.6426408,Apartment,"Kalyan Nagar, Bengaluru",0.7526463665077996,0.946186487994985,5,6,369
Avyak Fortune Apartments,13.0281682,77.6413656,Apartment,"Kalyan Nagar, Bengaluru",0.32767974877887973,1.6693379208730106,5,6,344
Pathyil Apartments,13.0233289,77.6421002,Apartment,"Kalyan Nagar, Bengaluru",0.39288061405856484,1.2162237922232653,4,4,245
Sri Nivasam Apartment,13.0192062,77.6419426,Apartment,"Kalyan Nagar, Bengaluru",0.78082261001338,0.9912483331136634,5,7,392
Sri Sai Homes Apartment,13.0242638,77.6416267,Apartment,"Kalyan Nagar, Bengaluru",0.2856040981266245,1.3242198928856563,3,3,206
DS Max Livin Apartment,13.027451,77.6405244,Apartment,"Kalyan Nagar, Bengaluru",0.2104086403122523,1.6636565202928886,5,5,316
CopperCreek Apartments,13.017463,77.642627,Apartment,"Kalyan Nagar, Bengaluru",0.9883062656267472,0.8680549793241542,6,7,414
Royal Garden Apartment,13.02368,77.6405161,Apartment,"Kalyan Nagar, Bengaluru",0.2611389569479323,1.3732857680993864,3,4,216
Elegant Pristine,13.0229452,77.6380429,Apartment,"Kalyan Nagar, Bengaluru",0.35849659065519746,1.5514092721340091,4,5,293
Akash Residency Apt,13.0274241,77.6406662,Apartment,"Kalyan Nagar, Bengaluru",0.2161844478952734,1.6514200686259506,5,5,316
SLV Howell Apartment,13.0293212,77.6388795,Apartment,"Kalyan Nagar, Bengaluru",0.3952448502753502,1.9375180474417437,4,5,284
Sims Regency,13.0182879,77.6392433,Apartment,"Kalyan Nagar, Bengaluru",0.8385729842437641,1.2453263887386707,4,5,324
Sai Rani Apartments,13.0174975,77.6452789,Apartment,"Kalyan Nagar, Bengaluru",1.1157035085849647,0.5884402226599699,6,7,440
Suravi Apartment,13.0278899,77.6352072,Apartment,"Kalyan Nagar, Bengaluru",0.5218562242660473,2.1147407362546145,3,3,179
Arnav Apartment,13.025834,77.6423017,Apartment,"Kalyan Nagar, Bengaluru",0.29999367775791597,1.4021513164931128,5,6,333
TukTuk Apartments,13.021689,77.644554,Apartment,"Kalyan Nagar, Bengaluru",0.7122849511743199,0.8971282790019143,5,6,356
Silver Oak Apartments,13.0242582,77.636379,Apartment,"Kalyan Nagar, Bengaluru",0.38345057928325604,1.7805667495476316,2,2,111
