Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,distance_in_meters_from_voosh
Sri Lakshmi ganesha luxury pg for ladies,13.0136207,77.6644045,PG,"Adugodi, Bengaluru",3.016931818402096,1.5296588307277394,6,7,439
Bizongo,13.0277782,77.6324487,Office,"Ambalipura, Bengaluru",0.7975874125251357,2.3494962356968236,7,8,475
The Open Office,13.0111962,77.6576458,Office,"Ambalipura, Bengaluru",2.5488081577564885,0.9448931286607996,4,5,298
Axis Bank,13.0281125,77.6324919,Office,"Ambalipura, Bengaluru",0.8040645400033424,2.3664009238432016,10,11,675
Jal Vayu Towers,12.9959329,77.6549463,Apartment,"Indiranagar, Bengaluru",3.7196780492384707,2.2920017276048874,16,18,1057
All Peoples Church %26 World Outreach Office,13.0208806,77.6430362,Office,"J.P. Nagar, Bengaluru",0.6680059140026238,0.9697129115646521,5,5,317
Caravan Serviced Apartments,13.0057553,77.6571938,Apartments,"Junnasandra, Bengaluru",2.9395360580655754,1.3578471622441581,6,8,459
Griha Promoters Private Ltd,13.0181246,77.646108,Apartments,"Junnasandra, Bengaluru",1.1137473275679992,0.5283552891519908,3,4,225
Amigo Casa Apartments,13.0101579,77.6685876,Apartment,"K.R Puram, Bengaluru",3.5976201641236187,2.0661067005864973,8,9,564
BANGALORE ONE,13.0171033,77.6704647,Office,"K.R Puram, Bengaluru",3.488541496497166,2.164342465631044,8,10,590
n,13.015242,77.6611672,Office,"K.R Puram, Bengaluru",2.622600449653519,1.1579546024841316,5,6,366
Maruti Suzuki Service (Kalyani Motors Horamavu),13.0297689,77.665949,Office,"K.R Puram, Bengaluru",2.8951942326559386,2.260587182567148,9,12,695
Sub Registrar Office,13.0144612,77.6477867,Office,"K.R Puram, Bengaluru",1.5479216508653997,0.3464595096706986,1,1,70
Gravity PG Service,13.0118651,77.6681219,PG,"K.R Puram, Bengaluru",3.4644459112010266,1.9645419640584756,7,9,527
