,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,distance_in_meters_from_voosh,13_30_voosh
0,264,Saroj Group,12.9522835,77.7119978,Apartments,"Adugodi, Bengaluru",1.412193687552859,0.6487245116076025,,,448,7
1,277,Sobha Dream Acres - Flats for Sale in Bangalore,12.9382954,77.7262934,Apartments,"Adugodi, Bengaluru",2.9518444478464856,2.4936980867608844,,,806,13
2,789,Zolo Elements PG,12.965503,77.721947,PG,"Adugodi, Bengaluru",3.1491465496284077,1.1933505507515119,,,352,6
3,961,Sobha Dream Acres - Flats for Sale in Bangalore,12.9382954,77.7262934,Apartment,"Ambalipura, Bengaluru",2.9518444478464856,2.4936980867608844,,,806,13
4,992,Saroj Group,12.9522835,77.7119978,Apartment,"Ambalipura, Bengaluru",1.412193687552859,0.6487245116076025,,,448,7
5,1019,DSR Infrastructure Private Limited,12.9520393,77.7208853,Apartment,"Ambalipura, Bengaluru",2.304447182102301,0.9233114694427111,,,444,7
6,1212,Adobe India,12.9439034,77.6968467,Office,"Ambalipura, Bengaluru",0.4811218406436456,2.4457084279283148,,,869,14
7,1227,Capgemini,12.9696806,77.7248741,Office,"Ambalipura, Bengaluru",3.698308234102637,1.7520980160305282,,,976,16
8,1268,IndiQube Omega,12.959603,77.716588,Office,"Ambalipura, Bengaluru",2.280481404422767,0.3175485221851561,,,155,3
9,1314,DivyaSree Technopark,12.9709443,77.7256946,Office,"Ambalipura, Bengaluru",3.8601793946601197,1.9170969040130674,,,927,15
10,1465,Sri ganesh PG (Gents),12.9481157,77.703623,PG,"Ambalipura, Bengaluru",0.39316281326663566,1.5818234827542141,,,763,13
11,1533,LOTUS PG FOR GENTS,12.9544457,77.693669,PG,"Ambalipura, Bengaluru",1.1443739276900435,2.2871272344611624,,,648,11
12,1535,Zolo Pepper - PG in Marathahalli Bangalore,12.9571713,77.7096945,PG,"Ambalipura, Bengaluru",1.556304144007207,0.5258649732243398,,,686,11
