index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,distance_in_meters_from_voosh
0,Genesis Apartments,12.9260858,77.6669695,Apartments,"Bellandur, Bengaluru",8.995750552968463,3.5936498847861102,15,17,1011
1,Kristal Olivine,12.9262221,77.6745085,Apartments,"Bellandur, Bengaluru",9.083430782511625,2.7768247432092017,16,18,1078
2,Green Fields,12.9220953,77.676976,Apartments,"Bellandur, Bengaluru",8.670473758335289,2.543146958364913,10,12,723
3,Sobha Primrose Apartments,12.9292984,77.6685994,Apartments,"Bellandur, Bengaluru",9.361761325823421,3.438608337333779,16,19,1111
4,Srinivasa Diamond Apartment,12.9230847,77.6725453,Apartments,"Bellandur, Bengaluru",8.710850215417397,3.0047683767134887,11,13,757
5,Sobha Hibiscus,12.922925,77.668866,Apartments,"Bellandur, Bengaluru",8.656454467054568,3.4033450155211207,13,15,885
6,Pearl Regency Apartments,12.9230434,77.6739085,Apartments,"Bellandur, Bengaluru",8.724476371117383,2.8583229928723983,11,12,737
7,Sterling Ascentia,12.9288752,77.6816475,Apartments,"Bellandur, Bengaluru",9.506909341087827,2.0312477885690376,11,13,767
8,Green View Apartments,12.9445811,77.6791039,Apartments,"Bellandur, Bengaluru",11.175245919651305,3.0886689104988823,14,14,860
9,Elegance Opal Apartment,12.9263908,77.6759556,Apartments,"Bellandur, Bengaluru",9.12422778056365,2.6203939086261188,9,11,645
10,1BHK bellandur,12.9222679,77.6778497,Apartments,"Bellandur, Bengaluru",8.706006665300917,2.446596075912921,11,13,774
11,Parijatha Apartment,12.9266246,77.6724282,Apartments,"Bellandur, Bengaluru",9.100600087799684,3.003242782079592,17,18,1103
12,Vintha Paradise Apartments,12.9257495,77.6696381,Apartments,"Bellandur, Bengaluru",8.975782910793251,3.3043316258992843,14,16,948
13,Surabhi Spring Apartments,12.9275782,77.6731625,Apartments,"Bellandur, Bengaluru",9.214884482421308,2.9288283618010307,17,18,1095
14,Mathru Shree Apartments,12.9216284,77.6770139,Apartments,"Bellandur, Bengaluru",8.620028573299944,2.5480949702170834,11,13,751
15,Vandana Sunshine Apartment,12.9255069,77.6690579,Apartments,"Bellandur, Bengaluru",8.944300181940815,3.3673903054618686,16,18,1070
16,Prestige Kew Gardens,12.9481002,77.6780419,Apartments,"Bellandur, Bengaluru",11.545638604963539,3.4442244268355187,16,17,1035
