,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,distance_in_meters_from_voosh
0,0,Madhuban Apartments,12.9383132,77.60969140000002,Apartments,"Adugodi, Bengaluru",2.4834009377251625,2.1663348159835816,,12,713
1,1,Golden Nest Apartments,12.9419278,77.6090382,Apartments,"Adugodi, Bengaluru",2.8805062747155334,2.5727445174890136,,14,863
2,2,Samyuktha Apartments,12.941573,77.6079278,Apartments,"Adugodi, Bengaluru",2.8385759111451208,2.568433831698851,,13,754
3,3,Brindavan Apts,12.9485102,77.6063374,Apartments,"Adugodi, Bengaluru",3.61411238726823,3.356518745569025,,14,853
4,4,Prestige Acropolis,12.935308099999999,77.61047370000001,Apartments,"Adugodi, Bengaluru",2.159536578071742,1.8217278911213208,,10,575
5,5,Venus Gangadhar Residency,12.950365,77.6043054,Apartments,"Adugodi, Bengaluru",3.8364314602358416,3.6198610709775854,,16,942
6,6,Adugodi,12.9427511,77.60829,Apartments,"Adugodi, Bengaluru",2.9698227129330674,2.6825222498497694,,14,817
7,7,Esteem Splendor 2,12.9377956,77.6091066,Apartments,"Adugodi, Bengaluru",2.4218734008328613,2.129447368736355,,12,736
8,8,Brindavan Apartment,12.9382437,77.6097782,Apartments,"Adugodi, Bengaluru",2.4764363744510027,2.1563615406269587,,11,660
9,9,Rajesh Sharda Apartments,12.943451199999998,77.60396120000001,Apartments,"Adugodi, Bengaluru",3.0777157936775352,2.9182060434617942,,14,856
10,10,Sorina Apartments,12.937561099999998,77.61155579999999,Apartments,"Adugodi, Bengaluru",2.424425098640586,2.0384281501412613,,12,727
11,11,Prakash Apartments,12.940097300000001,77.6077109,Apartments,"Adugodi, Bengaluru",2.6745963191921245,2.420220185422102,,13,783
12,12,Ansal Krsna,12.9378069,77.6100691,Apartments,"Adugodi, Bengaluru",2.43082332402412,2.101202300033506,,11,664
13,13,Sharathi Apartment,12.9407521,77.60722209999999,Apartments,"Adugodi, Bengaluru",2.748384544722956,2.506589045814343,,13,782
