level_0,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,distance_in_meters_from_voosh
0,0,Springfields Apartments,12.9177962,77.6694615,Apartment,"Ambalipura, Bengaluru",8.092671478901165,1.9640593896137586,10,12,717
1,1,SJR Watermark,12.913821,77.6708135,Apartment,"Ambalipura, Bengaluru",7.666347637154255,2.1465983633864214,13,15,884
2,2,Golden Corner,12.9194386,77.6696308,Apartment,"Ambalipura, Bengaluru",8.27618896683004,1.9951437970242962,8,9,553
3,3,Alps Estate,12.9148791,77.6726218,Apartment,"Ambalipura, Bengaluru",7.806215656133405,2.322575864597427,10,11,685
4,4,Alta Monte,12.9150305,77.6692867,Apartment,"Ambalipura, Bengaluru",7.7846249080530034,1.9618594636834408,11,13,804
5,5,Sterling Silver End,12.9165367,77.6680317,Apartment,"Ambalipura, Bengaluru",7.941652913071558,1.8108926490811832,11,12,747
6,6,Block- Boatman,12.9133138,77.6707669,Apartment,"Ambalipura, Bengaluru",7.609731756055423,2.152739266418635,14,15,916
7,7,Maruthi Nilaya,12.9130681,77.6674708,Apartment,"Ambalipura, Bengaluru",7.552940571309156,1.8119969782921979,12,14,842
8,8,Apple Square,12.9151219,77.6690802,Apartment,"Ambalipura, Bengaluru",7.792930906010427,1.9383417378093342,11,13,799
9,9,Mahaveer Cottage,12.9137432,77.6651601,Apartment,"Ambalipura, Bengaluru",7.617243535206052,1.5506368961541324,12,14,858
10,10,Sunita Residency,12.9133044,77.6651179,Apartment,"Ambalipura, Bengaluru",7.568349282120443,1.559656107755541,12,14,844
11,11,"C204, Purva Sunshine Apartment",12.9170738,77.6722151,Apartment,"Ambalipura, Bengaluru",8.042878698238946,2.262164285695757,9,11,658
12,12,Shree Sai Prabha Apartments,12.9123429,77.6640547,Apartment,"Ambalipura, Bengaluru",7.459367268037999,1.4865615300420745,13,15,888
13,13,yellow bells,12.9116894,77.6668165,Apartment,"Ambalipura, Bengaluru",7.395949419998684,1.7918234898779772,12,14,860
14,14,Dragonfly - SJR Watermark,12.9135341,77.6710157,Apartment,"Ambalipura, Bengaluru",7.636985537708364,2.1741760667019596,13,15,902
15,15,SimplyGuest GuruKrupa - Furnished 1 BHK%2F Studio Flat on Rent,12.92007,77.6686657,Apartment,"Ambalipura, Bengaluru",8.338251361758376,1.9011004516585446,8,9,561
