index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,19_00_centroid,distance_in_meters_from_centroid
159,Apartment,12.928977,77.5977103,Apartments,"Adugodi, Bengaluru",3.133219857626753,3.9681323866371536,18,1105
179,Modern Apartment,12.9195353,77.6040765,Apartments,"Adugodi, Bengaluru",2.7176755134761224,3.486095830062498,21,1256
208,HM Indigo,12.8730864,77.5715421,Apartments,"Adugodi, Bengaluru",3.7002516216565837,2.8644534649863513,18,1088
482,Office Space FOR RENT,12.9031126,77.5839092,Offices,"Adugodi, Bengaluru",0.1339192935547948,0.7375285226057019,3,190
731,Srivari PG For Gents,12.8983601,77.6179465,PG,"Adugodi, Bengaluru",3.618686744573694,3.902230074737149,19,1121
738,NEW SNS LUXURY PG FOR LADIES,12.9178128,77.6067936,PG,"Adugodi, Bengaluru",2.8373509577687126,3.565986485610386,21,1248
748,Paying Guest Accommodation for Ladies,12.917618,77.593716,PG,"Adugodi, Bengaluru",1.816032633435931,2.645940302208989,14,832
749,New Executive PG for ladies,12.9153721,77.6010095,PG,"Adugodi, Bengaluru",2.168577710199377,2.9223383158004803,17,994
756,Boys Pg,12.906044,77.562983,PG,"Adugodi, Bengaluru",2.401690061722845,2.3040198193899992,17,997
757,Sudarshan Luxury Living - Hulimavu,12.8806874,77.5944981,PG,"Adugodi, Bengaluru",2.754403814482132,2.2429883306283815,16,987
762,PG for Ladies,12.9268987,77.5733917,PG,"Adugodi, Bengaluru",2.873801392635761,3.47914925894802,19,1116
763,myroomie-Erica Girls PG %2F Hostel,12.9129063,77.5673212,PG,"Adugodi, Bengaluru",2.174886719701921,2.3983529433067723,16,948
766,"Your Space Bangalore - Bannerghatta, Girls (PG near Christ University, NMIMS )",12.8760911,77.5990175,PG,"Adugodi, Bengaluru",3.4216380063850673,2.947407395819405,16,962
1136,Office Space FOR RENT,12.9031126,77.5839092,Office,"Ambalipura, Bengaluru",0.1339192935547948,0.7375285226057019,3,190
