Place_name,Latitude,Longitude,Category,Region
Madhuban Apartments,12.9383132,77.6096914,Apartments,"Adugodi, Bengaluru"
Golden Nest Apartments,12.9419278,77.6090382,Apartments,"Adugodi, Bengaluru"
Samyuktha Apartments,12.941573,77.6079278,Apartments,"Adugodi, Bengaluru"
Brindavan Apts,12.9485102,77.6063374,Apartments,"Adugodi, Bengaluru"
Prestige Acropolis,12.9353081,77.6104737,Apartments,"Adugodi, Bengaluru"
Venus Gangadhar Residency,12.950365,77.6043054,Apartments,"Adugodi, Bengaluru"
Adugodi,12.9427511,77.60829,Apartments,"Adugodi, Bengaluru"
Esteem Splendor 2,12.9377956,77.6091066,Apartments,"Adugodi, Bengaluru"
Brindavan Apartment,12.9382437,77.6097782,Apartments,"Adugodi, Bengaluru"
Rajesh Sharda Apartments,12.9434512,77.6039612,Apartments,"Adugodi, Bengaluru"
Sorina Apartments,12.9375611,77.6115558,Apartments,"Adugodi, Bengaluru"
Prakash Apartments,12.9400973,77.6077109,Apartments,"Adugodi, Bengaluru"
Ansal Krsna,12.9378069,77.6100691,Apartments,"Adugodi, Bengaluru"
Sharathi Apartment,12.9407521,77.6072221,Apartments,"Adugodi, Bengaluru"
Mythreyi Naimisha Apartment,12.9451336,77.6029674,Apartments,"Adugodi, Bengaluru"
RAJA FOUR SQUARES,12.9436627,77.6106757,Apartments,"Adugodi, Bengaluru"
Sanjeevegowda,12.9408351,77.6099989,Apartments,"Adugodi, Bengaluru"
Comfort Benaka Appartments,12.9464945,77.6028362,Apartments,"Adugodi, Bengaluru"
SLV Apartments -3,12.9360211,77.6090295,Apartments,"Adugodi, Bengaluru"
Prema Nilaya Apartment,12.9406304,77.6080901,Apartments,"Adugodi, Bengaluru"
Panchavati-4 Apartment,12.9420827,77.6076924,Apartments,"Adugodi, Bengaluru"
Nirmala Niwas %237,12.9443638,77.6094288,Apartments,"Adugodi, Bengaluru"
Deepdarshan appartment,12.9425974,77.6136073,Apartments,"Adugodi, Bengaluru"
Esteem Splendor 1,12.9381227,77.6093822,Apartments,"Adugodi, Bengaluru"
Nagesh's Appartment,12.9446605,77.6082809,Apartments,"Adugodi, Bengaluru"
Crystal Rock Apartments,12.9368891,77.6090386,Apartments,"Adugodi, Bengaluru"
Ashritha Eeshan NZ Meadows Apartment,12.9493527,77.6037794,Apartments,"Adugodi, Bengaluru"
"Samrudhi Nilaya, Audugodi",12.9444743,77.6089628,Apartments,"Adugodi, Bengaluru"
Shanthi Nilaya Apartment,12.9406546,77.6084403,Apartments,"Adugodi, Bengaluru"
ARINDAM,12.94308,77.6065167,Apartments,"Adugodi, Bengaluru"
413 Apartment,12.9441879,77.6180995,Apartments,"Adugodi, Bengaluru"
Samuthya Apartment,12.9402291,77.6083207,Apartments,"Adugodi, Bengaluru"
Kishan Apartment,12.9412741,77.607261,Apartments,"Adugodi, Bengaluru"
Lakshme Enclave,12.9416752,77.6082345,Apartments,"Adugodi, Bengaluru"
Saroja Pride,12.9410546,77.6077336,Apartments,"Adugodi, Bengaluru"
S.G.Home,12.9415628,77.6079496,Apartments,"Adugodi, Bengaluru"
Adithya om enclave,12.9415073,77.6174647,Apartments,"Adugodi, Bengaluru"
Prem Nest Near Basavanna temple,12.9432649,77.6092152,Apartments,"Adugodi, Bengaluru"
JV Residency,12.9440717,77.6091439,Apartments,"Adugodi, Bengaluru"
A. A. Center,12.9486249,77.6059114,Apartments,"Adugodi, Bengaluru"
Kenzo Enclave,12.9444739,77.6177055,Apartments,"Adugodi, Bengaluru"
Sudhir Residency,12.9410079,77.6077453,Apartments,"Adugodi, Bengaluru"
Rani Residency,12.9394986,77.6088175,Apartments,"Adugodi, Bengaluru"
Nithya Lakshmi,12.9431861,77.6122493,Apartments,"Adugodi, Bengaluru"
Prestige St. John's Wood,12.9300612,77.6106751,Apartments,"Adugodi, Bengaluru"
Lakshmi Venkateshwara Nilaya,12.9443292,77.6098298,Apartments,"Adugodi, Bengaluru"
Salarpuria Sapphire,12.9442537,77.6076672,Apartments,"Adugodi, Bengaluru"
Savita Mansion,12.9403826,77.6031313,Apartments,"Adugodi, Bengaluru"
Sai Krupa Apartments,12.9375149,77.6123378,Apartments,"Adugodi, Bengaluru"
Rajeswari Nilaya,12.9430333,77.6069096,Apartments,"Adugodi, Bengaluru"
NDRI SRF COLONY,12.9456603,77.6075028,Apartments,"Adugodi, Bengaluru"
Shetty's residence,12.9409471,77.6038879,Apartments,"Adugodi, Bengaluru"
