,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,19_00_voosh,distance_in_meters_from_voosh
0,0,Madhuban Apartments,12.9383132,77.60969140000002,Apartments,"Adugodi, Bengaluru",0.4345802782548368,1.138967045329153,10,571
1,1,Golden Nest Apartments,12.9419278,77.6090382,Apartments,"Adugodi, Bengaluru",0.7299489940213925,1.0480365811362349,7,394
2,2,Samyuktha Apartments,12.941573,77.6079278,Apartments,"Adugodi, Bengaluru",0.7878549352940861,1.1740546279332593,8,497
3,3,Brindavan Apts,12.9485102,77.6063374,Apartments,"Adugodi, Bengaluru",1.4969391214828154,1.4129774848125918,8,451
4,4,Prestige Acropolis,12.935308099999999,77.61047370000001,Apartments,"Adugodi, Bengaluru",0.37287506866860987,1.2924524250092668,9,530
5,5,Venus Gangadhar Residency,12.950365,77.6043054,Apartments,"Adugodi, Bengaluru",1.7890864205923125,1.6966263514702455,9,525
6,6,Adugodi,12.9427511,77.60829,Apartments,"Adugodi, Bengaluru",0.8522364497427072,1.1131413387002083,7,403
7,7,Esteem Splendor 2,12.9377956,77.6091066,Apartments,"Adugodi, Bengaluru",0.48043453711361844,1.223572227832319,10,589
8,8,Brindavan Apartment,12.9382437,77.6097782,Apartments,"Adugodi, Bengaluru",0.4231155140430986,1.1353735468450292,9,527
9,9,Rajesh Sharda Apartments,12.943451199999998,77.60396120000001,Apartments,"Adugodi, Bengaluru",1.2561916076273327,1.5755746838106153,9,536
10,10,Sorina Apartments,12.937561099999998,77.61155579999999,Apartments,"Adugodi, Bengaluru",0.2163139024260889,1.0313966607473979,8,474
11,11,Prakash Apartments,12.940097300000001,77.6077109,Apartments,"Adugodi, Bengaluru",0.7131544451845584,1.2430061272309285,9,534
12,12,Ansal Krsna,12.9378069,77.6100691,Apartments,"Adugodi, Bengaluru",0.37884759150129144,1.1375895983783377,9,533
13,13,Sharathi Apartment,12.9407521,77.60722209999999,Apartments,"Adugodi, Bengaluru",0.7957692684037493,1.2708987340695992,9,532
14,14,Mythreyi Naimisha Apartment,12.9451336,77.60296740000001,Apartments,"Adugodi, Bengaluru",1.4545594478100532,1.6879093203708553,8,508
15,15,RAJA FOUR SQUARES,12.943662699999999,77.6106757,Apartments,"Adugodi, Bengaluru",0.8024776837242689,0.8475461075836251,4,262
16,16,Sanjeevegowda,12.9408351,77.60999890000001,Apartments,"Adugodi, Bengaluru",0.5699479047617264,0.981969701090438,8,458
17,17,Comfort Benaka Appartments,12.9464945,77.60283620000001,Apartments,"Adugodi, Bengaluru",1.563882961374759,1.720778825092216,9,537
18,18,SLV Apartments -3,12.9360211,77.6090295,Apartments,"Adugodi, Bengaluru",0.4916302668194437,1.349639531119146,13,771
19,19,Prema Nilaya Apartment,12.9406304,77.6080901,Apartments,"Adugodi, Bengaluru",0.7097544514870512,1.1848833349194672,8,475
20,20,Panchavati-4 Apartment,12.942082699999998,77.6076924,Apartments,"Adugodi, Bengaluru",0.8444611182276288,1.1879382524804798,8,477
21,21,Nirmala Niwas %237,12.944363800000001,77.60942879999999,Apartments,"Adugodi, Bengaluru",0.9304688433307683,0.9835022423943602,5,312
22,22,Deepdarshan appartment,12.9425974,77.6136073,Apartments,"Adugodi, Bengaluru",0.6253783362403488,0.5492052374280861,4,212
23,23,Esteem Splendor 1,12.9381227,77.6093822,Apartments,"Adugodi, Bengaluru",0.45988305150428077,1.1786055582748487,9,569
24,24,Nagesh's Appartment,12.9446605,77.6082809,Apartments,"Adugodi, Bengaluru",1.0223568992628436,1.1097407309808713,6,350
25,25,Crystal Rock Apartments,12.9368891,77.60903859999999,Apartments,"Adugodi, Bengaluru",0.4791577075999676,1.2881944729911536,12,714
26,26,Ashritha Eeshan NZ Meadows Apartment,12.949352699999999,77.60377940000001,Apartments,"Adugodi, Bengaluru",1.730508039499742,1.7053452165803227,9,560
27,27,"Samrudhi Nilaya, Audugodi",12.9444743,77.6089628,Apartments,"Adugodi, Bengaluru",0.965804154220571,1.0346093986640474,6,333
28,28,Shanthi Nilaya Apartment,12.9406546,77.6084403,Apartments,"Adugodi, Bengaluru",0.6806040850196186,1.1479839679952617,10,590
29,29,ARINDAM,12.94308,77.6065167,Apartments,"Adugodi, Bengaluru",1.01334056210851,1.3010963709971264,7,436
30,30,413 Apartment,12.9441879,77.6180995,Apartments,"Adugodi, Bengaluru",0.946647197145786,0.052486051725412916,2,117
31,31,Samuthya Apartment,12.9402291,77.60832070000001,Apartments,"Adugodi, Bengaluru",0.664087570500145,1.1759199042455946,8,491
32,32,Kishan Apartment,12.9412741,77.607261,Apartments,"Adugodi, Bengaluru",0.8244335727537911,1.2519911628542557,8,500
33,33,Lakshme Enclave,12.941675199999999,77.6082345,Apartments,"Adugodi, Bengaluru",0.7705333443151049,1.139131739960932,7,442
34,34,Saroja Pride,12.941054600000001,77.60773359999999,Apartments,"Adugodi, Bengaluru",0.7686162979444948,1.2084474911032184,8,501
35,35,S.G.Home,12.941562800000002,77.6079496,Apartments,"Adugodi, Bengaluru",0.7853217175434952,1.1720032509708793,8,497
36,36,Adithya om enclave,12.9415073,77.6174647,Apartments,"Adugodi, Bengaluru",0.6651391755523766,0.28964739518424937,2,124
37,37,Prem Nest Near Basavanna temple,12.9432649,77.6092152,Apartments,"Adugodi, Bengaluru",0.8370648007527312,1.0079384913316514,6,364
38,38,JV Residency,12.944071699999999,77.6091439,Apartments,"Adugodi, Bengaluru",0.9172680558460613,1.013248620475804,5,305
39,39,A. A. Center,12.9486249,77.60591140000001,Apartments,"Adugodi, Bengaluru",1.5320240884062108,1.4606368204237887,8,457
