,level_0,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,19_00_voosh,distance_in_meters_from_voosh
0,209,209,Nestaway Technologies Pvt. Ltd. Corporate,12.9158259,77.645526,Apartments,"Adugodi, Bengaluru",4.074157719244558,3.873466436481907,14,820
1,758,758,Lotus comfort PG for gents,12.9283349,77.6868495,PG,"Adugodi, Bengaluru",8.661072768134046,2.004193771707752,13,754
2,775,775,Nestaway Technologies Pvt. Ltd. Corporate,12.9158259,77.645526,PG,"Adugodi, Bengaluru",4.074157719244558,3.873466436481907,14,820
3,779,779,Springfields Apartments,12.9177962,77.6694615,Apartment,"Ambalipura, Bengaluru",6.67107185240527,1.4427419538803072,5,301
4,780,780,SJR Watermark,12.913821,77.6708135,Apartment,"Ambalipura, Bengaluru",6.819301370877398,1.1357334180932195,8,464
5,781,781,Golden Corner,12.9194386,77.6696308,Apartment,"Ambalipura, Bengaluru",6.697195272922445,1.528169357041749,8,474
6,782,782,Alps Estate,12.9148791,77.6726218,Apartment,"Ambalipura, Bengaluru",7.011986826416332,0.989206872171797,4,265
7,783,783,Alta Monte,12.9150305,77.66928670000001,Apartment,"Ambalipura, Bengaluru",6.650278441830419,1.3326704964624096,7,392
8,784,784,Sterling Silver End,12.9165367,77.6680317,Apartment,"Ambalipura, Bengaluru",6.513511839114936,1.519002432597569,6,332
9,785,785,Block- Boatman,12.9133138,77.67076690000002,Apartment,"Ambalipura, Bengaluru",6.816540859788064,1.1278152306170415,8,499
10,786,786,Maruthi Nilaya,12.9130681,77.6674708,Apartment,"Ambalipura, Bengaluru",6.4610216870087465,1.4753872854043173,7,428
11,787,787,Apple Square,12.9151219,77.6690802,Apartment,"Ambalipura, Bengaluru",6.6277343890060765,1.3571168388650536,6,387
12,788,788,Mahaveer Cottage,12.9137432,77.6651601,Apartment,"Ambalipura, Bengaluru",6.207368103954195,1.7342103706623084,8,450
13,789,789,Sunita Residency,12.9133044,77.6651179,Apartment,"Ambalipura, Bengaluru",6.205008655554964,1.731620189209092,7,432
14,790,790,"C204, Purva Sunshine Apartment",12.9170738,77.6722151,Apartment,"Ambalipura, Bengaluru",6.967617482066876,1.1474125347131434,4,245
15,791,791,Shree Sai Prabha Apartments,12.9123429,77.66405470000002,Apartment,"Ambalipura, Bengaluru",6.096215446083879,1.83575614087295,8,481
16,792,792,yellow bells,12.9116894,77.66681650000002,Apartment,"Ambalipura, Bengaluru",6.399991882604338,1.5331798267525032,7,449
17,793,793,Dragonfly - SJR Watermark,12.9135341,77.6710157,Apartment,"Ambalipura, Bengaluru",6.842433325728522,1.1067872651180632,8,483
18,794,794,SimplyGuest GuruKrupa - Furnished 1 BHK%2F Studio Flat on Rent,12.92007,77.6686657,Apartment,"Ambalipura, Bengaluru",6.59714809283031,1.654016407507583,8,480
19,795,795,Abhishek's House,12.9146898,77.6722848,Apartment,"Ambalipura, Bengaluru",6.9758940222406265,1.0145455772514491,5,285
20,796,796,Settl. Bosa - Coliving Space in Sarjapur Road,12.9160819,77.6693235,Apartment,"Ambalipura, Bengaluru",6.653297113324679,1.3703533688954634,7,414
21,797,797,Prerna Palazzo,12.91379,77.66430179999998,Apartment,"Ambalipura, Bengaluru",6.114207784691264,1.8268975666545872,8,495
22,798,798,Estella Ornate,12.9100185,77.6675283,Apartment,"Ambalipura, Bengaluru",6.493478776672525,1.4616995568210625,9,520
23,799,799,Sai Shree Apartments,12.9118569,77.6635712,Apartment,"Ambalipura, Bengaluru",6.047860191122354,1.8853457919963696,8,497
24,800,800,Purple Links apartment,12.9121877,77.66914990000002,Apartment,"Ambalipura, Bengaluru",6.6483831179752,1.2837338272257468,8,475
25,801,801,Magna Nest,12.9140778,77.6693095,Apartment,"Ambalipura, Bengaluru",6.655401273105692,1.3007502336350556,7,432
26,802,802,Royal Avenue Residency,12.9133671,77.6671812,Apartment,"Ambalipura, Bengaluru",6.428045779406397,1.5113032047833603,7,423
27,803,803,Purestone Enterprises,12.9151152,77.66909509999998,Apartment,"Ambalipura, Bengaluru",6.6293607527825085,1.3553490493291334,6,388
28,804,804,Sri Mitra Spring Valley,12.9145318,77.67245770000002,Apartment,"Ambalipura, Bengaluru",6.995031700808201,0.9906094440987055,5,282
29,805,805,Block- Tetra,12.9127758,77.67020440000002,Apartment,"Ambalipura, Bengaluru",6.758597811673437,1.177481375770792,9,528
30,806,806,MiCasa Apartments,12.9143463,77.66995209999997,Apartment,"Ambalipura, Bengaluru",6.724101812935115,1.2412271101943548,7,412
31,807,807,Mantri Flora,12.9182654,77.6649359,Apartment,"Ambalipura, Bengaluru",6.182664642570882,1.903360982068501,7,421
32,808,808,"Godrej Lake Gardens, Bangalore",12.9115937,77.6680254,Apartment,"Ambalipura, Bengaluru",6.53144651417042,1.4018978467164085,8,455
33,809,809,Shubh enclave,12.9141508,77.6706265,Apartment,"Ambalipura, Bengaluru",6.7978076614960825,1.1649724883591603,7,426
34,810,810,Ab residency,12.9146011,77.6699605,Apartment,"Ambalipura, Bengaluru",6.724272244908318,1.2485107639658128,7,410
35,811,811,Sri Renuka Complex,12.9157063,77.6728983,Apartment,"Ambalipura, Bengaluru",7.040844786456862,1.0039766888221104,4,234
36,812,812,Total Environment Raindrops Apartment,12.9167479,77.66859009999997,Apartment,"Ambalipura, Bengaluru",6.574264439398867,1.4729719108183,5,325
37,813,813,Serene,12.9139566,77.6696099,Apartment,"Ambalipura, Bengaluru",6.688397751321269,1.2659111308154922,7,442
38,814,814,DRONGO - SJR Watermark,12.9135476,77.6698878,Apartment,"Ambalipura, Bengaluru",6.720230288144435,1.226405555819818,8,498
39,815,815,Krishna kousthubha,12.9136108,77.6675301,Apartment,"Ambalipura, Bengaluru",6.464625520078744,1.4785286334235686,7,410
40,816,816,Purva Whitehall,12.9167605,77.6720383,Apartment,"Ambalipura, Bengaluru",6.947976406372951,1.1442587087911804,4,260
41,817,817,Devinarayan Lexington Terrace,12.9129455,77.6657458,Apartment,"Ambalipura, Bengaluru",6.27505055601271,1.6591812357186626,7,410
42,818,818,Women-collection,12.9181948,77.6695175,Apartment,"Ambalipura, Bengaluru",6.678572738332471,1.4604443778038647,5,295
43,819,819,Prerana Life APT,12.9138806,77.66500490000001,Apartment,"Ambalipura, Bengaluru",6.189946949147402,1.7533001153352374,8,452
44,820,820,Lakshmi Nilayam,12.9203469,77.6701391,Apartment,"Ambalipura, Bengaluru",6.758582812232544,1.548290903246493,9,522
45,821,821,Block - Martin,12.913705,77.67056740000002,Apartment,"Ambalipura, Bengaluru",6.793129556753331,1.1584619299190047,8,469
46,822,822,Mahaveer Pearl 1,12.9141638,77.6651306,Apartment,"Ambalipura, Bengaluru",6.202414864995166,1.7454361656082,8,461
47,823,823,Nagu - %E0%B2%A8%E0%B2%97%E0%B3%81,12.913526699999998,77.6649013,Apartment,"Ambalipura, Bengaluru",6.180389418630685,1.7582800900283464,7,440
48,824,824,Sri Sai Akshay Elite,12.9136436,77.6649315,Apartment,"Ambalipura, Bengaluru",6.183082731625982,1.756962011404525,7,445
49,825,825,Block- Darter,12.9138746,77.67009709999998,Apartment,"Ambalipura, Bengaluru",6.7414913191881745,1.212458610296179,8,507
50,826,826,Mithila Nest,12.9131779,77.6658806,Apartment,"Ambalipura, Bengaluru",6.288272435315015,1.6478264582212456,7,405
51,827,827,Nkhj Palace,12.9142746,77.6690318,Apartment,"Ambalipura, Bengaluru",6.624630852217673,1.3353169264170577,7,421
52,828,828,Malathi.K,12.9207902,77.6701076,Apartment,"Ambalipura, Bengaluru",6.758840721106357,1.583464697570973,9,547
53,829,829,Green Meadows,12.9116642,77.6640671,Apartment,"Ambalipura, Bengaluru",6.103124165970136,1.8309713188178052,8,473
54,830,830,Silver Meadows,12.9119498,77.6643843,Apartment,"Ambalipura, Bengaluru",6.134951625745132,1.7976947205590137,8,472
55,831,831,Perumareddy Mi Casa,12.9145965,77.6697131,Apartment,"Ambalipura, Bengaluru",6.697478556816459,1.2739789840864162,7,404
56,832,832,Mahaveer Pearl 2,12.9137569,77.66470509999998,Apartment,"Ambalipura, Bengaluru",6.158033185844721,1.7831457944956024,8,480
57,833,833,Krishna Lilac,12.9190386,77.67266640000003,Apartment,"Ambalipura, Bengaluru",7.023455526367419,1.2477669040503474,9,561
